id,movie_id,person_id
1,118715,1054
2,118715,1053
3,1397280,576298
4,94898,484
5,38969,287836
6,38969,414144
8,1341167,606439
9,3774114,231
11,134273,1708
12,119094,247
13,2309021,585344
14,1780798,1218281
15,2140479,640334
16,1096999,2346569
17,2104994,1337218
18,5818010,2227426
19,63522,591
20,71222,163706
21,85636,908890
22,94963,887174
23,454082,604688
24,107254,546057
25,4361050,1093039
26,89767,142
27,96426,382776
28,77402,1681
29,82495,742819
30,1582507,867127
31,71402,935382
32,1974419,716347
33,117038,1188
34,1588170,453518
35,109506,1639
36,329101,950553
37,2119532,154
38,3850590,1002424
39,70666,1486
40,144120,950553
41,95271,514546
42,382943,385349
43,1878870,2609807
44,82418,591171
45,95925,935644
46,82010,484
47,4975722,1503575
48,2446042,576298
49,2543164,898288
50,2844798,610960
51,862467,716347
52,4094724,218621
53,1867093,915838
54,4172430,881
55,3733774,5082761
56,3733774,3588247
57,1124037,2657
58,3065204,1490123
59,3682448,229
60,3647498,724938
61,3882082,68587
62,3799694,948
63,3917210,2141317
64,3687398,823133
65,264616,200
66,2084970,878763
67,62467,950109
68,780504,716347
69,91474,520
70,1602613,716347
71,1740707,4217
72,1401143,1118351
73,95016,1532
74,3322364,1481618
75,1895587,565336
76,23245,5713
77,455944,298807
78,2713180,43742
79,1542344,965
80,2980516,1016428
81,80516,575389
82,1278449,800800
83,1278449,632312
84,2948356,397174
85,2948356,601781
86,2948356,1158544
87,289043,965
88,1985949,443505
89,1985949,717678
90,69995,1676
91,2911666,821432
92,2911666,500610
93,1278340,2482088
94,1655442,371890
95,50212,180
96,2359024,1099918
97,39420,581
98,46876,791
99,1132620,649117
100,3416532,1291105
101,3077214,310673
102,90605,116
103,3783958,3227090
104,1172570,716347
105,49366,796923
106,59646,591
107,46359,697
108,3835080,957772
109,23694,356931
110,21884,1843
111,117407,716347
112,4276820,359387
113,52561,695937
114,4972582,796117
115,34587,869664
116,91064,343
117,110148,1403
118,26138,1843
119,1259574,418982
120,1260581,1016428
121,1259573,875793
122,2085910,38896
123,99871,1490
124,2494362,951975
125,34398,905729
126,2375574,1296554
127,3086442,3868633
128,3086442,1072411
129,21814,115218
130,21814,5713
131,49406,40
132,4425200,821432
133,4273292,2035118
134,66921,40
135,96071,127
136,318034,812546
137,181875,1081
138,119081,27271
139,245712,327944
140,77745,442241
141,365376,453518
142,947798,4716
143,5052448,1443502
144,93605,941
145,2326554,3235877
146,1144884,254786
147,2582782,533284
148,76786,783
149,1742044,142
150,283877,293533
151,396184,716347
152,120586,443411
153,425379,716347
154,32910,272568
155,32910,373429
156,32910,414144
157,58997,695937
158,2209418,500
159,1049413,230032
160,1049413,677037
161,1398426,336620
162,1263670,178376
163,1185836,562470
164,4158096,1296554
165,120102,269
166,2349144,1349818
167,2349144,281396
168,3686998,1787884
169,1661199,110
170,1320253,230
171,93565,422484
172,87884,694
173,359950,1774
174,2005151,680846
175,28950,719756
176,2937696,500
177,3874544,569891
178,2091256,1659741
179,93779,1661
180,4695012,4099092
181,91042,455
182,1205489,142
184,1276104,426059
185,2932536,1266897
186,1355631,1026778
187,435705,848414
188,3450958,716257
189,368226,1382072
190,85995,601
191,448011,1639
192,2406566,500610
193,1082807,572562
194,4034228,518836
195,3731562,3611349
196,3733778,248942
197,1355683,178376
198,3066630,534665
199,3066630,2829262
200,1051904,1224299
201,1540011,1417392
202,3616916,1012385
203,2474976,2379028
204,105793,790715
205,4550098,1053530
206,3182558,1926187
207,3182558,1926187
208,3488710,709
209,1502404,527261
210,1664894,1348
211,4503598,2836676
212,1441395,322242
213,61512,742341
214,1112115,1012499
215,97351,4675
216,3312868,935664
217,56687,736
218,4846232,1509478
219,4846232,1343394
220,33533,939992
221,455407,252135
222,93223,519
223,5275828,1348
224,264472,585011
225,2944198,531595
226,5446858,316795
227,5710514,86301
228,1605717,1049433
229,109508,959062
230,107131,242271
231,104868,378893
232,1552224,694249
233,2032572,5522
234,4781612,2495732
235,120714,597516
236,475293,650905
237,4935372,2015237
238,4052882,1429471
239,1245492,1698571
240,1245492,736622
241,72431,316
242,4078160,686903
243,53459,290802
244,50976,5
245,445336,27815
246,1320291,871188
247,55018,2338
248,195714,939128
249,309593,254786
250,414982,939128
251,1622979,702797
252,206314,1093
253,1274586,1707
254,113118,336620
255,195945,139867
256,1242460,708903
257,1939659,5303
258,3480796,2357819
259,50307,485943
260,293815,1048560
261,278295,106230
262,804461,1490123
263,2230358,238841
264,3748172,1093039
265,91106,485637
266,4146622,93051
267,5723286,1423438
268,452623,255
269,86465,484
270,399295,629272
271,4225622,629334
272,3348730,1294961
273,3348730,1294962
274,5308322,484907
275,190138,528718
276,2090465,329023
277,123755,622112
278,117333,5509
279,5715874,487166
280,2597768,923738
281,110955,1130
282,1308729,1353
283,98536,6854
284,2937366,185848
285,4728386,2010936
286,1456635,236226
287,4769836,109359
288,3402236,110
289,5027774,1732981
290,116126,54077
291,4998772,3210041
292,4998772,3255161
293,5809020,307531
294,285492,782900
295,4961380,3598892
296,303361,1031246
297,91541,907
298,1704573,500
299,1132285,642041
300,120831,420982
301,210070,269502
302,3521126,290556
303,3255590,847859
304,3280262,238841
305,1748197,348389
306,4372390,1247462
307,3501112,221662
308,3908142,82366
309,2380564,1284464
310,92513,1060
311,97165,1837
312,3155328,1846132
313,4163224,1304669
314,96163,806293
315,4572514,916
316,3470600,1134029
317,3470600,2888554
318,111070,664756
319,4443658,2577199
320,96061,1149
321,4530884,5189759
322,112697,2132
323,2417712,59431
324,95519,66439
325,1785635,124112
326,1547234,462895
327,119310,5678
328,5189770,2409176
329,5189770,4932870
330,3654796,2674307
331,109190,425957
332,817538,109359
333,187078,784061
334,814022,659380
335,814022,161152
336,5539052,285379
337,810900,650905
338,5460530,552565
339,219965,1469
340,478087,525659
341,4303340,639376
342,1512235,348181
343,1706593,2503633
344,910970,4056
345,470752,307497
346,486946,65608
347,107048,601
348,139654,298807
349,5653514,1776860
350,457510,381478
351,3289956,4217
352,2937898,1170855
353,5833186,514546
354,3393786,1880
355,2389182,1414810
356,468489,281396
357,3395184,1918140
358,3395184,1823264
359,4382824,153078
360,5439796,1752
361,5112578,2023590
362,464154,14960
363,5120400,1084328
364,4929038,735134
365,4954522,4469445
366,2724064,3116
367,1714203,347657
368,1727885,2947601
369,1727885,1656974
370,120768,336620
371,6288694,282708
372,340163,802807
373,119432,664756
374,6204340,2099491
375,3481634,1642866
376,1798684,298807
377,1137450,744834
378,4925292,1950086
379,424345,3620
380,5466186,655683
381,5716380,743555
382,118570,1747
383,104437,459170
384,202677,3160
385,2277860,4056
386,2277860,533691
387,103786,505152
388,2101441,5101
389,4335650,4806266
390,462519,680846
391,2883448,1471703
392,3606752,270263
393,3229488,456239
394,66999,796923
395,66999,142
396,92695,715916
397,114369,399
398,75314,217
399,332379,500
400,962726,650905
401,106856,1708
402,6684714,233078
403,97523,2653
404,119488,436
405,94894,454
406,1719634,1860638
407,266465,336620
408,113277,520
