id,movie_id,watch_date,rating,method
441,3885524,2018-08-31,5,NF
442,83929,2018-09-01,5,KDPL
443,2283362,2018-09-02,6,KDPL
444,1453405,2018-09-02,6,NF
445,112401,2018-09-03,5,NF
446,4281724,2018-09-04,2,NF
447,5792472,2018-09-04,5,NF
448,380601,2018-09-05,4,NF
449,6598626,2018-09-06,5,NF
450,1082886,2018-09-07,5,NF
451,104029,2018-09-08,5,NF
452,289765,2018-09-08,4,NF
453,488120,2018-09-09,6,NF
454,144117,2018-09-10,4,NF
455,4227282,2018-09-11,6,NF
456,97493,2018-09-14,5,NF
457,110763,2018-09-15,6,NF
458,439815,2018-09-16,4,NF
459,1981677,2018-09-16,5,NF
460,389860,2018-09-17,7,NF
461,1337032,2018-09-18,4,NF
462,430922,2018-09-19,5,NF
463,2452386,2018-09-20,5,NF
464,3387542,2018-09-21,4,NF
465,250687,2018-09-22,6,KDPL
466,7668870,2018-09-23,7,Ank
467,82340,2018-09-23,5,KDPL
468,1959563,2018-09-25,5,KDPL
469,96256,2018-09-26,6,NF
470,498399,2018-09-28,5,NF
471,2402157,2018-09-30,5,NF
472,1091722,2018-09-30,5,NF
473,119978,2018-10-01,7,AR
474,313443,2018-10-02,5,AR
475,55614,2018-10-03,5,NF
476,3316948,2018-10-04,5,NF
477,3986820,2018-10-06,5,NF
478,268978,2018-10-07,6,NF
479,1961175,2018-10-08,5,NF
480,4738360,2018-10-10,5,NF
481,259484,2018-10-11,5,NF
482,4976192,2018-10-13,5,NF
483,217869,2018-10-14,6,DVD
484,112722,2018-10-15,5,NF
485,112508,2018-10-16,5,NF
486,305224,2018-10-17,6,NF
487,327056,2018-10-18,5,NF
488,120484,2018-10-20,5,NF
489,85407,2018-10-21,5,NF
490,105112,2018-10-22,7,AR
491,1502407,2018-10-25,4,Ank
492,3331028,2018-10-25,5,NF
493,120888,2018-10-27,5,KDPL
494,117998,2018-10-28,6,KDPL
495,5664636,2018-10-31,6,Ank
496,2316204,2018-11-07,3,NF
497,101540,2018-11-09,5,NF
498,7149916,2018-11-09,5,NF
499,3416742,2018-11-11,5,NF
500,1899353,2018-11-11,5,NF
501,131857,2018-11-12,5,NF
502,90329,2018-11-12,7,AR
503,114814,2018-11-13,6,AR
504,5657856,2018-11-14,5,AR
505,2891174,2018-11-15,6,AR
506,94291,2018-11-16,6,NF
507,8361028,2018-11-17,5,NF
508,4428728,2018-11-18,5,NF
509,958860,2018-11-19,6,NF
510,5052474,2018-11-19,5,RedBox
511,93822,2018-11-21,5,KDPL
512,2709692,2018-11-23,6,ChBI
513,6998518,2018-11-24,3,NF
514,87538,2018-11-24,6,NF
515,1872194,2018-11-25,6,KDPL
516,4209788,2018-11-25,6,KDPL
517,117438,2018-11-26,6,NF
518,2675914,2018-11-28,5,NF
519,862467,2018-11-29,6,NF
520,493430,2018-12-01,4,NF
521,4178092,2018-12-02,5,NF
522,209958,2018-12-04,5,AR
523,4540710,2018-12-06,6,AR
524,4846232,2018-12-08,7,AR
525,3263904,2018-12-11,6,NF
526,120483,2018-12-12,5,NF
527,3503406,2018-12-13,5,AR
528,1167675,2018-12-16,4,NF
529,4633690,2018-12-16,5,AR
530,1458169,2018-12-17,6,NF
531,2172985,2018-12-19,5,NF
532,1197624,2018-12-20,5,NF
533,3813310,2018-12-21,5,NF
534,1711525,2018-12-22,5,NF
535,2737304,2018-12-25,5,NF
536,99938,2018-12-26,6,TV
537,99785,2018-12-31,6,NF
538,2330322,2019-01-01,4,NF
539,6738136,2019-01-02,4,NF
540,6053438,2019-01-05,6,AR
541,1095217,2019-01-05,6,AR
542,2582782,2019-01-06,7,NF
543,93640,2019-01-06,6,AR
544,1259528,2019-01-07,5,NF
545,2369135,2019-01-08,6,NF
546,810951,2019-01-09,5,NF
547,5742374,2019-01-10,3,AR
548,3766354,2019-01-11,5,RedBox
549,2059171,2019-01-14,5,NF
550,117802,2019-01-15,6,NF
551,91326,2019-01-21,6,TV
552,1216491,2019-01-26,5,NF
553,117381,2019-01-27,5,AR
554,289992,2019-01-27,5,TV
555,993846,2019-02-03,5,TV
556,1189340,2019-02-06,6,TV
558,128442,2019-02-10,6,TV
559,8657152,2019-02-12,6,Work
560,5478478,2019-02-17,5,NF
561,56172,2019-02-18,6,DVD
562,437863,2019-02-24,6,NF
563,4846232,2019-03-02,7,AR
564,5095030,2019-03-03,5,NF
565,115697,2019-03-09,6,AR
566,118708,2019-03-09,5,AR
567,457433,2019-03-10,5,NF
568,1488606,2019-03-15,5,NF
569,3212232,2019-03-17,5,NF
570,5796156,2019-03-20,5,NF
571,1106860,2019-03-28,5,NF
572,47977,2019-03-30,9,NF
573,109370,2019-03-31,6,AR
574,94812,2019-03-31,5,NF
575,408524,2019-04-02,6,AR
576,4633694,2019-04-06,5,NF
577,91209,2019-04-07,5,NF
578,2944198,2019-04-07,6,NF
579,1314655,2019-04-13,5,NF
580,6499752,2019-04-14,5,NF
581,6238084,2019-04-14,5,NF
582,99204,2019-04-18,5,AR
583,96098,2019-04-21,5,NF
584,7295450,2019-04-22,4,NF
585,449089,2019-04-22,6,NF
586,2215351,2019-04-24,6,NF
587,4537896,2019-04-27,5,NF
588,3509978,2019-04-28,5,NF
589,1197628,2019-04-28,5,NF
590,7959026,2019-04-30,5,NF
591,6628394,2019-05-12,5,NF
592,2294629,2019-05-16,5,NF
593,2679552,2019-05-18,5,NF
594,355954,2019-05-19,6,AR
595,7014006,2019-05-21,5,AR
596,104431,2019-05-24,6,NF
597,109686,2019-05-27,6,NF
598,6823368,2019-05-27,5,NF
599,106918,2019-06-02,6,AR
600,91217,2019-06-02,6,AR
601,93748,2019-06-15,6,AR
602,9024106,2019-06-16,6,Web
603,424345,2019-06-20,5,DVD
604,109446,2019-06-23,6,AR
605,332379,2019-06-25,8,DVD
606,119528,2019-06-29,6,AR
607,95631,2019-06-30,5,AR
608,4666732,2019-07-06,6,AR
609,3011960,2019-07-07,5,AR
610,92005,2019-07-07,6,AR
611,118636,2019-07-08,5,AR
612,2005374,2019-07-22,5,AR
613,117894,2019-07-31,5,AR
614,6105098,2019-08-02,6,CC
615,112572,2019-08-04,5,AR
616,3758162,2019-08-13,5,AR
617,99939,2019-08-11,5,AR
618,97880,2019-08-14,5,AR
619,120832,2019-08-18,5,AR
620,7784604,2019-08-20,5,AR
621,119256,2019-08-21,5,AR
622,1535612,2019-08-22,5,AR
623,1396484,2019-08-25,5,RedBox
624,118771,2019-08-25,5,AR
625,101242,2019-08-28,5,AR
626,119892,2019-08-29,5,AR
627,189584,2019-09-01,3,AR
628,109642,2019-09-02,5,AR
629,113243,2019-09-02,6,AR
630,1937388,2019-09-06,5,AR
631,8155288,2019-09-07,5,RedBox
632,133985,2019-09-08,5,AR
633,98554,2019-09-09,6,AR
634,1650535,2019-09-10,5,AR
356,1137450,2018-03-12,8,CMA
415,1137450,2018-07-29,8,RedBox
635,1137450,2019-09-11,8,AR
636,1231587,2019-09-12,5,AR
637,4575982,2019-09-13,5,AR
638,6146586,2019-09-14,5,RedBox
639,787475,2019-09-15,6,AR
640,120324,2019-09-15,5,AR
641,118073,2019-09-15,5,AR
642,118571,2019-09-16,8,AR
643,106977,2019-09-17,8,AR
644,119142,2019-09-18,5,AR
645,95253,2019-09-19,6,AR
646,100404,2019-09-20,6,AR
647,8160864,2019-09-22,5,AR
648,103241,2019-09-24,6,AR
649,120241,2019-09-29,5,AR
65,780504,2016-12-22,8,NL
557,780504,2019-02-07,8,TV
650,780504,2019-09-29,8,AR
651,1468387,2019-09-30,7,PF
652,482629,2019-10-02,6,PF
653,2047890,2019-10-03,6,PF
654,1761005,2019-10-04,6,PF
655,4056738,2019-10-05,5,PF
656,2822280,2019-10-06,6,PF
657,3100052,2019-10-06,6,PF
658,1637662,2019-10-07,5,PF
659,3963816,2019-10-09,5,AR
660,427229,2019-10-14,5,AR
661,263757,2019-10-13,5,AR
662,7286456,2019-10-14,3,BR
663,1305008,2019-10-15,7,PF
664,2964360,2019-10-16,6,PF
665,1160369,2019-10-17,6,PF
666,5866442,2019-10-18,5,PF
667,4264610,2019-10-18,6,PF
668,6400674,2019-10-20,5,PF
669,218967,2019-10-20,7,AR
670,3969208,2019-10-21,2,PF
671,5970972,2019-10-23,5,PF
672,427152,2019-10-25,5,AR
673,1137450,2019-10-26,8,AR
674,308152,2019-10-27,5,AR
675,1371117,2019-10-28,4,AR
676,380687,2019-10-29,4,DVD
677,1975179,2019-10-30,5,PF
678,8535180,2019-11-02,5,AR
679,468489,2019-11-03,6,Web
680,118531,2019-11-04,5,Web
681,2528814,2019-11-05,5,Web
682,4765928,2019-11-06,5,PF
683,2891174,2019-11-07,6,AR
684,6053438,2019-11-09,6,AR
685,5792656,2019-11-09,5,RedBox
686,3203834,2019-11-10,6,PF
687,5105784,2019-11-16,6,AR
688,4591784,2019-11-16,6,AR
689,117774,2019-11-27,5,AR
690,3300712,2019-12-10,5,PF
691,3722420,2019-12-16,6,PF
692,4654472,2019-12-17,6,PF
693,4558194,2019-12-18,6,PF
694,8946378,2019-12-21,5,WAMC
695,4846340,2019-12-21,5,TV
696,110066,2019-12-23,8,AR
697,104431,2019-12-25,6,TV
698,85334,2019-12-25,8,TV
699,95016,2019-12-26,7,TV
700,6343314,2019-12-27,6,AR
701,3398066,2020-01-05,6,PF
702,4838334,2020-01-06,6,PF
703,325537,2020-01-07,6,AR
704,9826126,2020-01-10,6,PF
705,4170972,2020-01-10,6,PF
706,7394816,2020-01-11,5,RedBox
707,6977338,2020-01-11,5,RedBox
708,1814790,2020-01-13,6,PF
709,1778924,2020-01-14,6,PF
710,1684558,2020-01-14,6,PF
711,3187040,2020-01-15,6,PF
712,2338205,2020-01-16,6,PF
713,1144546,2020-01-19,5,PF
714,4486728,2020-01-20,6,PF
715,4883336,2020-01-21,6,PF
716,1516541,2020-01-22,6,PF
717,2240306,2020-01-23,6,PF
718,2678212,2020-01-24,5,PF
719,1629443,2020-01-25,5,PF
720,38650,2020-01-27,9,AR
721,9636630,2020-02-02,5,PF
722,6133806,2020-02-03,5,PF
723,104952,2020-02-07,6,AR
724,3305388,2020-02-09,5,PF
725,2899120,2020-02-10,6,PF
726,107614,2020-02-11,5,AR
727,2191701,2020-02-23,5,AR
728,1979376,2020-03-01,6,AR
729,3513548,2020-05-08,7,AR
730,5741008,2020-05-13,5,AR
731,1618432,2020-05-22,6,AR
732,6529772,2020-05-24,5,AR
733,3224458,2020-05-25,6,AR
734,10086784,2020-06-07,6,AR
735,1137450,2020-06-10,8,AR
736,111257,2020-06-14,6,AR
737,280590,2020-06-14,7,AR
738,142342,2020-06-15,6,AR
739,2048824,2020-06-20,9,PF
740,2349144,2020-06-21,7,AR
741,3513548,2020-06-27,7,RedBox
742,110989,2020-06-28,6,AR
743,4738238,2020-07-05,6,PF
744,6436726,2020-07-05,6,AR
745,5727208,2020-07-05,6,AR
746,249478,2020-07-08,6,AR
747,11465650,2020-07-11,6,AR
748,2304953,2020-07-12,6,AR
749,486822,2020-07-12,6,AR
750,274636,2020-07-21,6,AR
751,6105774,2020-07-31,6,AR
752,8544498,2020-08-08,3,AR
753,97958,2020-08-10,6,AR
754,42327,2020-08-11,7,AR
755,9243946,2020-08-14,7,NF
756,2328727,2020-08-28,6,AR
757,120434,2020-09-04,6,AR
758,85995,2020-09-05,5,AR
759,105466,2020-09-07,7,AR
760,1430131,2020-09-23,5,AR
761,5093668,2020-09-26,6,AR
762,111477,2020-09-27,6,AR
763,8068826,2020-09-28,6,AR
764,486946,2020-09-30,7,AR
765,3104292,2020-10-04,6,AR
766,2628374,2020-10-06,6,AR
767,1349640,2020-10-07,6,AR
768,482629,2020-10-11,6,AR
769,466923,2020-10-12,6,AR
770,3647804,2020-10-13,6,AR
771,5258388,2020-10-16,6,NF
772,1305008,2020-10-20,7,PF
773,2350374,2020-10-24,6,PF
774,243036,2020-10-27,8,PF
775,8947544,2020-10-28,6,PF
