id,movie_id,watch_date,rating,method
177,368226,2017-07-22,5,Web
178,85995,2017-07-23,5,Goodrich
179,448011,2017-07-25,5,NF
180,2406566,2017-07-27,5,Goodrich
181,1082807,2017-07-29,4,RedBox
182,4034228,2017-07-30,5,RedBox
183,3731562,2017-07-30,5,RedBox
184,3733778,2017-07-31,5,NL
185,1355683,2017-08-01,5,NL
186,3066630,2017-08-03,4,NL
187,1051904,2017-08-04,6,NF
188,1540011,2017-08-05,4,NL
189,3616916,2017-08-07,5,NL
190,2474976,2017-08-07,5,NL
191,105793,2017-08-08,4,NL
192,4550098,2017-08-08,5,NL
193,3182558,2017-08-10,5,NL
194,3488710,2017-08-11,6,NL
195,1502404,2017-08-16,5,NL
196,1664894,2017-08-16,5,NL
197,4503598,2017-08-18,5,NL
198,1441395,2017-08-19,2,NL
199,61512,2017-08-19,6,NL
200,1112115,2017-08-21,6,NL
201,97351,2017-08-22,7,NL
202,3312868,2017-08-22,5,NL
204,56687,2017-08-28,6,NL
205,4846232,2017-08-29,7,McCX
206,33533,2017-08-29,6,NL
207,455407,2017-08-29,5,NL
208,93223,2017-08-30,5,NL
209,5275828,2017-08-31,6,NL
210,264472,2017-08-31,5,NL
211,2944198,2017-08-31,6,NF
212,5446858,2017-09-01,6,NL
213,5710514,2017-09-01,5,NF
214,1605717,2017-09-01,6,NF
215,109508,2017-09-03,3,Web
216,107131,2017-09-03,7,NF
217,104868,2017-09-03,5,NF
218,1552224,2017-09-04,4,NF
219,2032572,2017-09-05,5,NF
220,4781612,2017-09-05,4,NL
221,120714,2017-09-06,5,NF
222,475293,2017-09-06,6,NF
223,4935372,2017-09-06,4,NF
224,4052882,2017-09-07,6,NL
225,1245492,2017-09-07,2,NL
126,96071,2017-02-11,4,UGL
226,72431,2017-09-08,5,NF
227,4078160,2017-09-08,4,RedBox
228,53459,2017-09-10,5,NL
229,50976,2017-09-11,6,NL
230,445336,2017-09-12,5,NL
231,1320291,2017-09-13,6,NL
232,55018,2017-09-14,5,NL
233,195714,2017-09-16,5,DVD
234,309593,2017-09-16,5,DVD
235,414982,2017-09-16,5,DVD
