id,movie_id,company_id
1,118715,30612
2,118715,57311
3,1397280,48273
4,1397280,69340
5,1397280,240248
6,1397280,174373
7,1397280,28557
8,1397280,37417
9,1397280,346444
10,1397280,221580
11,1397280,787629
12,94898,23400
13,94898,102273
14,38969,98836
15,1341167,197272
16,1341167,104859
17,1341167,24845
18,1341167,106149
19,3774114,112971
20,3774114,506124
21,3774114,513383
22,134273,50868
23,134273,30084
24,134273,12600
25,119094,11800
26,119094,49348
27,119094,23400
28,119094,20967
29,119094,41998
30,2309021,3224
31,2309021,260274
32,2309021,429818
33,2309021,313110
34,2309021,262387
35,2309021,402483
36,2309021,655598
37,1780798,285648
38,1780798,19626
39,1780798,196801
40,1780798,319489
41,1780798,208237
42,2140479,2663
43,2140479,366362
44,2140479,41001
45,2140479,449458
46,2140479,86332
47,1096999,190856
48,1096999,275347
49,1096999,190929
50,2104994,274645
51,2104994,39462
52,2104994,74280
53,2104994,75999
54,5818010,592426
55,63522,142268
56,71222,38591
57,71222,38657
58,71222,51074
59,71222,695373
60,71222,38657
61,71222,4750
62,85636,14380
63,85636,5073
64,94963,2663
65,94963,10258
66,454082,19626
67,454082,5596
68,454082,142476
69,454082,1857
70,454082,223495
71,454082,151527
72,454082,62469
73,454082,139728
74,454082,26937
75,454082,28055
76,454082,92623
77,107254,46718
78,107254,108859
79,4361050,5073
80,4361050,71240
81,4361050,98315
82,4361050,504433
83,4361050,169264
84,4361050,55529
85,4361050,130376
86,4361050,59753
87,89767,102264
88,96426,68181
89,96426,126028
90,96426,776621
91,96426,47977
92,96426,658318
93,77402,136689
94,77402,607988
95,82495,14380
96,82495,5073
97,1582507,142678
98,1582507,251858
99,1582507,247116
100,71402,682093
101,71402,670561
102,1974419,402600
103,1974419,506124
104,1974419,135575
105,1974419,4166
106,1974419,404626
107,1974419,35146
108,117038,45447
109,117038,49706
110,1588170,317320
111,1588170,188167
112,1588170,321429
113,1588170,20493
114,109506,119044
115,109506,32245
116,109506,176154
117,109506,31659
118,109506,22594
119,109506,6728
120,329101,46718
121,329101,28247
122,329101,67362
123,329101,108859
124,329101,6287
125,329101,4434
126,2119532,46206
127,2119532,285648
128,2119532,317576
129,2119532,52383
130,2119532,598281
131,2119532,337632
132,2119532,506124
133,2119532,208137
134,2119532,465607
135,2119532,2521
136,2119532,484538
137,2119532,73417
138,2119532,11800
139,2119532,234956
140,2119532,286594
141,3850590,159111
142,3850590,5073
143,3850590,526406
144,70666,54778
145,70666,1584
146,144120,56665
147,144120,5073
148,95271,5891
149,382943,252506
150,1878870,35761
151,1878870,99734
152,1878870,33486
153,1878870,249694
154,82418,59493
155,82418,108859
156,95925,46277
157,95925,21078
158,82010,103685
159,82010,765197
160,82010,765198
161,4975722,390816
162,4975722,641956
163,4975722,136967
164,2446042,48273
165,2446042,69340
166,2446042,28557
167,2446042,37417
168,2446042,346444
169,2446042,420822
170,2446042,501651
171,2446042,90290
172,2446042,604062
173,2446042,756
174,2543164,296971
175,2543164,251858
176,2543164,158853
177,2543164,616808
178,2844798,159596
179,2844798,133296
180,2844798,86612
181,2844798,45825
182,2844798,56024
183,2844798,1935
184,2844798,665692
185,2844798,690819
186,2844798,475594
187,2844798,130575
188,2844798,48118
189,2844798,285154
190,2844798,174795
191,862467,103694
192,862467,227229
193,862467,132355
194,862467,79694
195,862467,18704
196,862467,223259
197,862467,136039
198,4094724,5073
199,4094724,71240
200,4094724,98315
201,4094724,611595
202,4094724,169264
203,4094724,55529
204,1867093,333174
205,1867093,333129
206,1867093,508816
207,1867093,169766
